Name	SRR24466374	SRR24466375	SRR24466376	SRR24466377	SRR24466378	SRR24466379	SRR24466380	SRR24466381	SRR24466382	SRR24466383	SRR24466384	SRR24466385	SRR24466386	SRR24466387	SRR24466388	SRR24466389	SRR24466390	SRR24466391
YOR373W	4.47829	6.47804	5.15395	3.96954	2.397	6.78442	4.33919	4.12698	2.70472	5.18134	5.5595	5.38415	6.76874	1.19712	5.50925	5.89951	4.29622	7.10673
YFR030W	59.0273	58.2662	23.9301	41.6895	23.81	33.3096	39.3175	42.3437	32.126	70.9094	44.099	36.6588	66.7199	14.6316	53.6361	96.0263	23.9225	49.8592
YDR237W	26.9739	30.387	25.7897	27.9807	31.0328	28.8405	19.9882	26.4708	35.4692	26.7776	27.9118	24.4188	34.4722	21.2598	29.101	32.9233	29.071	33.0788
YOL069W	10.7092	17.5441	12.2098	9.06105	8.36635	11.459	8.40679	10.0253	10.1602	13.3683	12.1769	11.7227	17.7893	6.11925	13.3335	13.9142	16.2288	15.8577
YOR299W	14.3592	19.153	10.259	11.0092	10.3475	19.8915	16.3709	14.6984	12.3394	14.5834	14.4935	12.5583	19.7586	5.74204	13.6461	18.0586	14.9611	15.4906
YMR212C	27.4525	35.7022	25.0224	17.9641	15.5764	26.7881	17.4414	16.8439	17.7564	22.2216	18.329	28.1131	18.7518	11.1076	24.2967	16.7725	23.5376	23.5502
YGR289C	5.90548	7.77912	3.65909	4.57679	9.15876	6.83537	6.18361	8.42124	15.7907	6.71732	14.7436	5.99383	15.1442	4.40039	6.14206	11.0216	19.9897	14.3397
YML117W	15.4433	24.797	12.4978	12.1121	11.9237	19.4154	14.7063	16.7674	17.98	16.4047	21.0128	15.4499	23.9137	5.62265	14.9341	22.6041	24.6918	22.3576
YOL133W	37.5745	50.7159	39.2185	38.9439	38.6895	61.4023	37.9377	47.2071	46.8804	50.7345	71.7106	34.0357	79.3842	21.5449	43.77	62.3741	61.3081	58.7203
YGL259W	0.400012	1.35015	0.670199	0.466059	0.499346	0.973589	0.304254	1.10663	0.661092	1.82675	2.38039	1.61375	1.62072	0.232821	1.45153	1.79591	3.08374	3.27501
YER062C	85.8533	269.867	98.5606	122.404	108.799	372.398	147.766	230.63	127.335	92.1821	231.759	95.7847	220.11	84.4727	139.223	210.409	210.681	161.687
YDR487C	107.247	170.218	146.929	107.098	84.1404	225.502	108.894	120.341	94.7298	139.552	192.182	148.681	182.643	69.4932	175.569	180.496	145.294	180.653
YKL154W	66.3595	85.4266	56.4602	47.2598	43.2131	64.8195	53.6929	66.1214	44.8002	71.6762	61.0692	69.402	58.8274	33.3276	62.2117	44.564	69.596	55.2883
YBR155W	8.99133	11.21	8.97986	8.03724	2.95426	15.1765	6.18424	6.59891	3.87519	9.92077	7.81056	8.91315	8.56559	2.96657	13.5278	10.7077	6.06419	13.0826
YLR072W	5.60784	11.8596	5.87354	4.17975	3.60145	9.81087	5.79462	7.13925	5.1519	7.90937	10.0394	6.53351	11.5138	2.32712	6.94325	10.1324	8.88301	9.61877
YBR149W	54.3689	102.493	36.8302	59.1638	60.9131	83.0848	73.6009	111.294	89.8516	92.6683	132.37	54.234	161.607	40.9196	75.6294	162.644	138.474	118.985
YBR219C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44379	0.688036	0	1.2867
YDR331W	25.9262	41.8346	27.1457	24.9328	18.3366	36.5643	27.4632	33.6328	22.6511	35.8476	34.8235	30.3984	38.3669	12.0299	24.145	26.3812	34.558	31.2092
YLL041C	26.1695	38.9705	20.2027	21.6523	21.9615	33.8823	29.4095	33.1889	37.0753	47.5713	62.2883	31.5643	75.5975	16.0682	36.5711	64.1066	64.2103	62.943
YLR261C	75.7456	28.0297	75.571	70.9028	104.726	36.3161	59.89	45.8833	91.8906	42.8714	60.6733	43.4143	45.148	78.448	90.1426	110.149	47.9521	44.4022
YBR154C	134.378	90.2821	103.725	103.992	88.4727	86.2885	69.8428	68.5477	77.956	91.3499	62.5412	80.8214	74.3665	66.2978	134.993	98.5377	55.0471	105.596
YBR152W	3.07669	6.95667	2.7833	2.74336	1.38663	5.90119	1.66864	3.96436	2.84927	3.48997	5.53883	3.67003	4.58139	0.965293	3.52867	4.76433	5.45426	6.65249
YGR244C	26.1545	36.0786	14.8332	20.9738	17.6233	27.8212	26.5207	33.4414	27.3858	47.9937	50.4139	21.6546	69.5567	13.9191	26.6102	52.3959	55.8761	46.4197
YJL063C	14.8182	25.3642	15.6947	13.9715	11.7344	24.3394	19.1419	18.1467	12.9752	24.7422	34.771	19.5335	42.0767	8.75162	21.7725	36.6335	29.8964	36.854
YGR015C	8.21979	15.614	8.37832	7.33512	6.34929	16.0404	7.6735	10.5152	7.77933	13.9601	14.4631	9.62366	17.0741	3.50925	11.0599	15.6584	14.4186	17.4039
YLL058W	7.98137	11.2126	6.9219	6.92294	7.51324	12.6776	8.32061	9.26496	8.61311	7.87081	10.1138	7.18535	10.8111	4.41948	9.97632	10.9841	10.3982	7.55807
YIL156W	5.94283	8.98327	5.013	4.81673	5.17976	7.70916	5.13994	5.6265	6.05494	5.35701	6.33946	6.15256	6.36417	3.16203	5.80888	5.45888	7.95139	5.96439
YDL009C	1.5017	1.74494	0.967476	1.28674	2.55362	2.52132	1.46787	2.41394	4.18091	0.502649	2.12813	1.12959	2.51184	5.75201	1.30036	1.66357	4.17944	3.75282
YCR059C	11.5855	17.4027	16.686	11.9263	7.15476	32.7892	13.0289	14.7734	9.16573	17.6066	20.1784	18.4295	20.9275	5.71922	22.0381	21.6223	15.0072	23.5696
YGL226C-A	168.238	275.729	221.669	192.892	113.766	334.5	222.306	218.735	136.581	276.588	217.286	226.095	276.037	92.6328	250.031	302.445	268.685	271.21
YER028C	8.85694	16.6317	8.49782	9.04175	7.51238	15.9154	9.94612	12.0873	9.10207	15.9252	20.2979	11.694	25.2374	4.47702	13.2689	25.6647	15.6981	30.0276
YGL224C	30.0191	48.1134	47.4757	23.7554	16.4759	59.4265	24.3443	22.8087	16.4733	51.0364	63.9242	44.8851	53.9463	15.3259	45.2417	56.9388	40.7797	65.7256
